"hh_pop_rep_num","hh_intro","hhead_note","person_number","person_gender","person_age","male_adult","female_adult","male_youth","female_youth","male_child","female_child","PARENT_KEY","KEY"
1,NA,NA,NA,"M",36,1,0,0,0,0,0,"uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2","uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",38,0,2,0,0,0,0,"uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2","uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",57,0,2,0,0,0,0,"uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2","uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",11,0,0,0,0,5,0,"uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2","uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",10,0,0,0,0,0,6,"uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2","uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
6,NA,NA,NA,"M",7,0,0,0,0,5,0,"uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2","uuid:f9f14f56-22ec-4c5c-b4c4-8b0a8ae056c2/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[6]"
1,NA,NA,NA,"M",32,1,0,0,0,0,0,"uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d","uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",36,0,2,0,0,0,0,"uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d","uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",8,0,0,0,0,0,6,"uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d","uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",4,0,0,0,0,5,0,"uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d","uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",1,0,0,0,0,0,6,"uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d","uuid:81e4961c-f0e1-4194-849b-a58b3f73bd3d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"M",66,1,0,0,0,0,0,"uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b","uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",59,0,2,0,0,0,0,"uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b","uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",19,0,0,3,0,0,0,"uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b","uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
1,NA,NA,NA,"M",33,1,0,0,0,0,0,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",31,0,2,0,0,0,0,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",13,0,0,0,0,5,0,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",4,0,0,0,0,5,0,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",11,0,0,0,0,0,6,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
6,NA,NA,NA,"F",8,0,0,0,0,0,6,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[6]"
