"hh_pop_rep_num","hh_intro","hhead_note","person_number","person_gender","person_age","male_adult","female_adult","male_youth","female_youth","male_child","female_child","PARENT_KEY","KEY"
7,NA,NA,NA,"M",21,0,0,3,0,0,0,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[7]"
8,NA,NA,NA,"F",18,0,0,0,4,0,0,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[8]"
9,NA,NA,NA,"F",61,0,2,0,0,0,0,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[9]"
1,NA,NA,NA,"M",45,1,0,0,0,0,0,"uuid:edd065f2-1220-42d6-ba31-af206afd2298","uuid:edd065f2-1220-42d6-ba31-af206afd2298/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",46,0,2,0,0,0,0,"uuid:edd065f2-1220-42d6-ba31-af206afd2298","uuid:edd065f2-1220-42d6-ba31-af206afd2298/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",15,0,0,3,0,0,0,"uuid:edd065f2-1220-42d6-ba31-af206afd2298","uuid:edd065f2-1220-42d6-ba31-af206afd2298/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"F",13,0,0,0,0,0,6,"uuid:edd065f2-1220-42d6-ba31-af206afd2298","uuid:edd065f2-1220-42d6-ba31-af206afd2298/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"M",12,0,0,0,0,5,0,"uuid:edd065f2-1220-42d6-ba31-af206afd2298","uuid:edd065f2-1220-42d6-ba31-af206afd2298/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"F",50,0,2,0,0,0,0,"uuid:26d785d1-c021-46de-b929-ff009363e89c","uuid:26d785d1-c021-46de-b929-ff009363e89c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",13,0,0,0,0,0,6,"uuid:26d785d1-c021-46de-b929-ff009363e89c","uuid:26d785d1-c021-46de-b929-ff009363e89c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",9,0,0,0,0,5,0,"uuid:26d785d1-c021-46de-b929-ff009363e89c","uuid:26d785d1-c021-46de-b929-ff009363e89c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",9,0,0,0,0,5,0,"uuid:26d785d1-c021-46de-b929-ff009363e89c","uuid:26d785d1-c021-46de-b929-ff009363e89c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"M",3,0,0,0,0,5,0,"uuid:26d785d1-c021-46de-b929-ff009363e89c","uuid:26d785d1-c021-46de-b929-ff009363e89c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"M",67,1,0,0,0,0,0,"uuid:55e82782-2e7f-4126-b7da-635e89113d04","uuid:55e82782-2e7f-4126-b7da-635e89113d04/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",65,0,2,0,0,0,0,"uuid:55e82782-2e7f-4126-b7da-635e89113d04","uuid:55e82782-2e7f-4126-b7da-635e89113d04/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",18,0,0,0,4,0,0,"uuid:55e82782-2e7f-4126-b7da-635e89113d04","uuid:55e82782-2e7f-4126-b7da-635e89113d04/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
1,NA,NA,NA,"F",45,0,2,0,0,0,0,"uuid:20b01618-af9e-4635-a98e-47cdaabce32d","uuid:20b01618-af9e-4635-a98e-47cdaabce32d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",50,1,0,0,0,0,0,"uuid:20b01618-af9e-4635-a98e-47cdaabce32d","uuid:20b01618-af9e-4635-a98e-47cdaabce32d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",20,0,0,0,4,0,0,"uuid:20b01618-af9e-4635-a98e-47cdaabce32d","uuid:20b01618-af9e-4635-a98e-47cdaabce32d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",21,0,0,3,0,0,0,"uuid:20b01618-af9e-4635-a98e-47cdaabce32d","uuid:20b01618-af9e-4635-a98e-47cdaabce32d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",16,0,0,0,4,0,0,"uuid:20b01618-af9e-4635-a98e-47cdaabce32d","uuid:20b01618-af9e-4635-a98e-47cdaabce32d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
6,NA,NA,NA,"M",14,0,0,0,0,5,0,"uuid:20b01618-af9e-4635-a98e-47cdaabce32d","uuid:20b01618-af9e-4635-a98e-47cdaabce32d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[6]"
1,NA,NA,NA,"M",51,1,0,0,0,0,0,"uuid:d78f221e-a959-4d90-beb9-fe567deff647","uuid:d78f221e-a959-4d90-beb9-fe567deff647/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",46,0,2,0,0,0,0,"uuid:d78f221e-a959-4d90-beb9-fe567deff647","uuid:d78f221e-a959-4d90-beb9-fe567deff647/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",18,0,0,0,4,0,0,"uuid:d78f221e-a959-4d90-beb9-fe567deff647","uuid:d78f221e-a959-4d90-beb9-fe567deff647/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",1,0,0,0,0,5,0,"uuid:d78f221e-a959-4d90-beb9-fe567deff647","uuid:d78f221e-a959-4d90-beb9-fe567deff647/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",13,0,0,0,0,0,6,"uuid:d78f221e-a959-4d90-beb9-fe567deff647","uuid:d78f221e-a959-4d90-beb9-fe567deff647/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"F",30,0,0,0,4,0,0,"uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d","uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",34,1,0,0,0,0,0,"uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d","uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",11,0,0,0,0,0,6,"uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d","uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",4,0,0,0,0,5,0,"uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d","uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",4,0,0,0,0,0,6,"uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d","uuid:6c14c6fd-1e92-4cf3-89ea-509f4e63224d/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"M",23,0,0,3,0,0,0,"uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf","uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",45,1,0,0,0,0,0,"uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf","uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",42,0,2,0,0,0,0,"uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf","uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",17,0,0,3,0,0,0,"uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf","uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",7,0,0,0,0,0,6,"uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf","uuid:96d454f4-fdd2-435e-9d6e-e3e62f19bcaf/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"M",56,1,0,0,0,0,0,"uuid:9a68242b-8005-47f4-8f07-1723e4bf7061","uuid:9a68242b-8005-47f4-8f07-1723e4bf7061/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",50,0,2,0,0,0,0,"uuid:9a68242b-8005-47f4-8f07-1723e4bf7061","uuid:9a68242b-8005-47f4-8f07-1723e4bf7061/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",20,0,0,3,0,0,0,"uuid:9a68242b-8005-47f4-8f07-1723e4bf7061","uuid:9a68242b-8005-47f4-8f07-1723e4bf7061/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",8,0,0,0,0,5,0,"uuid:9a68242b-8005-47f4-8f07-1723e4bf7061","uuid:9a68242b-8005-47f4-8f07-1723e4bf7061/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"F",27,0,0,0,4,0,0,"uuid:b486397e-8bf1-487e-8e16-9fd915a3849e","uuid:b486397e-8bf1-487e-8e16-9fd915a3849e/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",24,0,0,3,0,0,0,"uuid:b486397e-8bf1-487e-8e16-9fd915a3849e","uuid:b486397e-8bf1-487e-8e16-9fd915a3849e/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
1,NA,NA,NA,"F",47,0,2,0,0,0,0,"uuid:a3c1a026-7285-4fa9-a352-0aba64ad1e26","uuid:a3c1a026-7285-4fa9-a352-0aba64ad1e26/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",20,0,0,3,0,0,0,"uuid:a3c1a026-7285-4fa9-a352-0aba64ad1e26","uuid:a3c1a026-7285-4fa9-a352-0aba64ad1e26/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",14,0,0,0,0,5,0,"uuid:a3c1a026-7285-4fa9-a352-0aba64ad1e26","uuid:a3c1a026-7285-4fa9-a352-0aba64ad1e26/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"F",26,0,0,0,4,0,0,"uuid:a3c1a026-7285-4fa9-a352-0aba64ad1e26","uuid:a3c1a026-7285-4fa9-a352-0aba64ad1e26/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"M",68,1,0,0,0,0,0,"uuid:7c103bd0-12f2-4ccb-9af6-0011caab39b1","uuid:7c103bd0-12f2-4ccb-9af6-0011caab39b1/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",61,0,2,0,0,0,0,"uuid:7c103bd0-12f2-4ccb-9af6-0011caab39b1","uuid:7c103bd0-12f2-4ccb-9af6-0011caab39b1/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",30,0,0,0,4,0,0,"uuid:7c103bd0-12f2-4ccb-9af6-0011caab39b1","uuid:7c103bd0-12f2-4ccb-9af6-0011caab39b1/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"F",38,0,2,0,0,0,0,"uuid:7c103bd0-12f2-4ccb-9af6-0011caab39b1","uuid:7c103bd0-12f2-4ccb-9af6-0011caab39b1/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"M",48,1,0,0,0,0,0,"uuid:78e811b3-0575-47c9-b8e8-8bfd28396425","uuid:78e811b3-0575-47c9-b8e8-8bfd28396425/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",45,0,2,0,0,0,0,"uuid:78e811b3-0575-47c9-b8e8-8bfd28396425","uuid:78e811b3-0575-47c9-b8e8-8bfd28396425/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",11,0,0,0,0,0,6,"uuid:78e811b3-0575-47c9-b8e8-8bfd28396425","uuid:78e811b3-0575-47c9-b8e8-8bfd28396425/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",16,0,0,3,0,0,0,"uuid:78e811b3-0575-47c9-b8e8-8bfd28396425","uuid:78e811b3-0575-47c9-b8e8-8bfd28396425/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"M",60,1,0,0,0,0,0,"uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90","uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",50,0,2,0,0,0,0,"uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90","uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",55,1,0,0,0,0,0,"uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90","uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"F",9,0,0,0,0,0,6,"uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90","uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",17,0,0,0,4,0,0,"uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90","uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"M",63,1,0,0,0,0,0,"uuid:5d46125a-5f64-49e1-a92e-24df950be06e","uuid:5d46125a-5f64-49e1-a92e-24df950be06e/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",54,0,2,0,0,0,0,"uuid:5d46125a-5f64-49e1-a92e-24df950be06e","uuid:5d46125a-5f64-49e1-a92e-24df950be06e/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",30,0,0,0,4,0,0,"uuid:5d46125a-5f64-49e1-a92e-24df950be06e","uuid:5d46125a-5f64-49e1-a92e-24df950be06e/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",24,0,0,3,0,0,0,"uuid:5d46125a-5f64-49e1-a92e-24df950be06e","uuid:5d46125a-5f64-49e1-a92e-24df950be06e/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",16,0,0,0,4,0,0,"uuid:5d46125a-5f64-49e1-a92e-24df950be06e","uuid:5d46125a-5f64-49e1-a92e-24df950be06e/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"F",67,0,2,0,0,0,0,"uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f","uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",68,1,0,0,0,0,0,"uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f","uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",11,0,0,0,0,0,6,"uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f","uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",7,0,0,0,0,5,0,"uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f","uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",9,0,0,0,0,0,6,"uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f","uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"M",64,1,0,0,0,0,0,"uuid:9e30011a-7d1d-46a6-88f5-909278478258","uuid:9e30011a-7d1d-46a6-88f5-909278478258/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",67,0,2,0,0,0,0,"uuid:9e30011a-7d1d-46a6-88f5-909278478258","uuid:9e30011a-7d1d-46a6-88f5-909278478258/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",44,0,2,0,0,0,0,"uuid:9e30011a-7d1d-46a6-88f5-909278478258","uuid:9e30011a-7d1d-46a6-88f5-909278478258/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",27,0,0,3,0,0,0,"uuid:9e30011a-7d1d-46a6-88f5-909278478258","uuid:9e30011a-7d1d-46a6-88f5-909278478258/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",21,0,0,0,4,0,0,"uuid:9e30011a-7d1d-46a6-88f5-909278478258","uuid:9e30011a-7d1d-46a6-88f5-909278478258/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
6,NA,NA,NA,"M",12,0,0,0,0,5,0,"uuid:9e30011a-7d1d-46a6-88f5-909278478258","uuid:9e30011a-7d1d-46a6-88f5-909278478258/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[6]"
7,NA,NA,NA,"M",9,0,0,0,0,5,0,"uuid:9e30011a-7d1d-46a6-88f5-909278478258","uuid:9e30011a-7d1d-46a6-88f5-909278478258/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[7]"
1,NA,NA,NA,"M",48,1,0,0,0,0,0,"uuid:79004fb2-cd08-426b-8058-45da64e94c4c","uuid:79004fb2-cd08-426b-8058-45da64e94c4c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",41,0,2,0,0,0,0,"uuid:79004fb2-cd08-426b-8058-45da64e94c4c","uuid:79004fb2-cd08-426b-8058-45da64e94c4c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",13,0,0,0,0,5,0,"uuid:79004fb2-cd08-426b-8058-45da64e94c4c","uuid:79004fb2-cd08-426b-8058-45da64e94c4c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",6,0,0,0,0,5,0,"uuid:79004fb2-cd08-426b-8058-45da64e94c4c","uuid:79004fb2-cd08-426b-8058-45da64e94c4c/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
