"offfarm_rep_number","offfarm_income_name","offfarm_label","offfarm_income_note","off_farm_income_no1","offfarm_year_round","offfarm_month","offfarm_month.apr","offfarm_month.aug","offfarm_month.dec","offfarm_month.feb","offfarm_month.jan","offfarm_month.jul","offfarm_month.jun","offfarm_month.mar","offfarm_month.may","offfarm_month.no_answer","offfarm_month.nov","offfarm_month.oct","offfarm_month.sep","off_farm_income_no3","offfarm_who_control_revenue","offfarm_who_control_revenue.Female_adult","offfarm_who_control_revenue.Male_adult","offfarm_who_control_revenue.no_answer","PARENT_KEY","KEY"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult Female_adult",1,1,0,"uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b","uuid:0b9593c1-7828-40c5-99eb-4f5cf1eef50b/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"otherlabour","Mano de obra, no en una finca",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult Female_adult",1,1,0,"uuid:947465aa-f843-4c0c-bdc1-93a32e18025c","uuid:947465aa-f843-4c0c-bdc1-93a32e18025c/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult Female_adult",1,1,0,"uuid:d78f221e-a959-4d90-beb9-fe567deff647","uuid:d78f221e-a959-4d90-beb9-fe567deff647/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Tener negocio propio",NA,NA,"Y","jan feb mar apr may jun jul aug sep nov oct dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult Female_adult",1,1,0,"uuid:9a68242b-8005-47f4-8f07-1723e4bf7061","uuid:9a68242b-8005-47f4-8f07-1723e4bf7061/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Tener negocio propio",NA,NA,"Y","dec",0,0,1,0,0,0,0,0,0,0,0,0,0,NA,"Male_adult Female_adult",1,1,0,"uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90","uuid:f148576b-8a67-4ec7-ac4b-2a0d444adf90/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Female_adult",1,0,0,"uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f","uuid:ec93a5c7-db3a-4a18-b9cd-049b7277327f/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"gov_institution","Trabajar para el gobierno o institución pública",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult Female_adult",1,1,0,"uuid:495a2d78-cfa6-49d6-90d2-17033382c77f","uuid:495a2d78-cfa6-49d6-90d2-17033382c77f/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"remittances","Remesas (enviar dinero)",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Male_adult Female_adult",1,1,0,"uuid:0fad669d-bc41-4401-8179-e270a827f18e","uuid:0fad669d-bc41-4401-8179-e270a827f18e/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Tener negocio propio",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Female_adult",1,0,0,"uuid:e927f8a6-3695-4ea0-af0c-5366395367e6","uuid:e927f8a6-3695-4ea0-af0c-5366395367e6/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
1,"ownbusiness","Tener negocio propio",NA,NA,"Y","jan feb mar apr may jun jul aug sep oct nov dec",1,1,1,1,1,1,1,1,1,0,1,1,1,NA,"Female_adult",1,0,0,"uuid:d5335de8-8de6-4817-b2c3-2820d2aa3b8b","uuid:d5335de8-8de6-4817-b2c3-2820d2aa3b8b/survey_grp/offfarm_income_grp/SECTION_Off_Farm_Income/offfarm_income_repeat[1]"
