"livestock_rep_number","livestock_id","livestock_label","livestock_name_note","ls_no1","animals_draught","livestock_breeds","livestock_breeds.improved","livestock_breeds.local","livestock_housing","ls_no2","livestock_bought","livestock_live_birth","livestock_sold","ls_no3","livestock_sale_income","ls_no4","livestock_ownership","livestock_ownership.Female_adult","livestock_ownership.Female_Child","livestock_ownership.Female_Youth","livestock_ownership.Male_adult","livestock_ownership.Male_Child","livestock_ownership.Male_Youth","livestock_ownership.no_answer","livestock_who_sells","livestock_who_sells.Female_adult","livestock_who_sells.Female_Youth","livestock_who_sells.Male_adult","livestock_who_sells.Male_Child","livestock_who_sells.Male_Youth","livestock_who_sells.no_answer","livestock_died","ls_no5","killed_for_meat","ls_no6","meat_use","meat_use.sell","meat_use.use","ls_no7","meat_consumed_amount","meat_sell_amount","meat_sold_income","ls_no8","livestock_meat_who_sells","livestock_meat_who_sells.Female_adult","livestock_meat_who_sells.Female_Youth","livestock_meat_who_sells.Male_adult","livestock_meat_who_control_eating","livestock_meat_who_control_eating.Female_adult","livestock_meat_who_control_eating.Female_Youth","livestock_meat_who_control_eating.Male_adult","livestock_meat_who_control_eating.Male_Youth","ls_no9","milk_harvest","ls_no10","milk_number_animals_milked","milk_amount_good_season","milk_units","milk_amount_units_other","milk_amount_bad_season","ls_no11","milk_use","milk_use.dairy","milk_use.sell","milk_use.use","dairy_products","dairy_products.no_answer","dairy_products.other","dairy_products.yoghurt","dairy_products_other","ls_no12","milk_dairy_amount","milk_consumed_amount","milk_sell_amount","ls_no13","milk_sold_income","milk_sold_price_timeunits","milk_amount_time_units_other","ls_no14","milk_who_sells","milk_who_sells.Female_adult","milk_who_sells.Male_adult","milk_who_control_eating","milk_who_control_eating.Female_adult","milk_who_control_eating.Female_Youth","milk_who_control_eating.Male_adult","milk_who_control_eating.Male_Youth","milk_who_control_eating.no_answer","ls_no15","eggs_harvest","ls_no16","eggs_amount_good","eggs_units","eggs_amount_units_other","eggs_amount_bad","ls_no17","eggs_use","eggs_use.hatch","eggs_use.use","ls_no18","eggs_consumed_amount","eggs_sell_amount","eggs_hatch_amount","ls_no19","eggs_sold_income","eggs_sold_price_timeunits","eggs_sold_price_timeunits_other","ls_no20","eggs_who_sells","eggs_who_control_eating","eggs_who_control_eating.Female_adult","eggs_who_control_eating.Female_Youth","eggs_who_control_eating.Male_adult","eggs_who_control_eating.Male_Youth","ls_no21","bees_honey_production","bees_honey_production_units","bees_honey_production_units_other","bees_honey_use","ls_no22","bees_honey_consumed_amount","bees_honey_sell_amount","ls_no22.1","bees_honey_sold_income","ls_no23","bees_who_sells","bees_who_control_eating","PARENT_KEY","KEY","household_id"
1,"horses","Chevaux",NA,NA,6,"local",0,1,"in_always",NA,0,1,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:4f6afde8-c888-45a2-9a84-7fb3e46c969a","uuid:4f6afde8-c888-45a2-9a84-7fb3e46c969a/survey_grp/Section_Livestock/livestock_repeat[1]","88"
1,"cattle","Bovins",NA,NA,2,"local",0,1,"in_always",NA,0,1,0,NA,NA,NA,"no_answer",0,0,0,0,0,0,1,"",0,0,0,0,0,0,1,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"Y",NA,2,2,"l/day",NA,1,NA,"use",0,0,1,"",0,0,0,"",NA,"","All","",NA,NA,"",NA,NA,"",0,0,"no_answer",0,0,0,0,1,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd","uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd/survey_grp/Section_Livestock/livestock_repeat[1]","89"
1,"horses","Chevaux",NA,NA,1,"local",0,1,"in_night_and_half_day",NA,1,0,0,NA,NA,NA,"Male_Youth",0,0,0,0,0,1,0,"",0,0,0,0,0,0,0,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:d0fc8c3a-4fcd-43dd-875c-85c4287f2044","uuid:d0fc8c3a-4fcd-43dd-875c-85c4287f2044/survey_grp/Section_Livestock/livestock_repeat[1]","2"
2,"sheep","Ovins",NA,NA,NA,"local improved",1,1,"in_always",NA,4,3,0,NA,NA,NA,"Male_Youth",0,0,0,0,0,1,0,"",0,0,0,0,0,0,3,NA,4,NA,"use",0,1,NA,"UnderHalf","",NA,NA,"",0,0,0,"Male_Youth",0,0,0,1,NA,"N",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:d0fc8c3a-4fcd-43dd-875c-85c4287f2044","uuid:d0fc8c3a-4fcd-43dd-875c-85c4287f2044/survey_grp/Section_Livestock/livestock_repeat[2]","2"
1,"horses","Chevaux",NA,NA,1,"local",0,1,"in_night_and_half_day",NA,1,0,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:711f4e24-0876-4935-b3b9-b58361b887c9","uuid:711f4e24-0876-4935-b3b9-b58361b887c9/survey_grp/Section_Livestock/livestock_repeat[1]","1"
1,"horses","Chevaux",NA,NA,1,"local",0,1,"in_night_and_half_day",NA,0,0,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:a7386a3d-23ab-4ac1-86fd-24994bb43fa8","uuid:a7386a3d-23ab-4ac1-86fd-24994bb43fa8/survey_grp/Section_Livestock/livestock_repeat[1]","11"
1,"cattle","Bovins",NA,NA,4,"local",0,1,"in_always",NA,0,0,1,NA,750000,NA,"no_answer",0,0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"N",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/Section_Livestock/livestock_repeat[1]","X4OBZH"
2,"donkey","Anes",NA,NA,NA,"local",0,1,"in_always",NA,0,0,0,NA,NA,NA,"no_answer",0,0,0,0,0,0,1,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/Section_Livestock/livestock_repeat[2]","X4OBZH"
3,"horses","Chevaux",NA,NA,8,"local",0,1,"in_always",NA,1,2,1,NA,150000,NA,"no_answer",0,0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,0,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/Section_Livestock/livestock_repeat[3]","X4OBZH"
4,"other1","Mouton",NA,NA,NA,"local",0,1,"in_always",NA,0,3,0,NA,NA,NA,"no_answer",0,0,0,0,0,0,1,"",0,0,0,0,0,0,1,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/Section_Livestock/livestock_repeat[4]","X4OBZH"
