"livestock_rep_number","livestock_id","livestock_label","livestock_name_note","ls_no1","animals_draught","livestock_breeds","livestock_breeds.improved","livestock_breeds.local","livestock_housing","ls_no2","livestock_bought","livestock_live_birth","livestock_sold","ls_no3","livestock_sale_income","ls_no4","livestock_ownership","livestock_ownership.Female_adult","livestock_ownership.Female_Child","livestock_ownership.Female_Youth","livestock_ownership.Male_adult","livestock_ownership.Male_Child","livestock_ownership.Male_Youth","livestock_ownership.no_answer","livestock_who_sells","livestock_who_sells.Female_adult","livestock_who_sells.Female_Youth","livestock_who_sells.Male_adult","livestock_who_sells.Male_Child","livestock_who_sells.Male_Youth","livestock_who_sells.no_answer","livestock_died","ls_no5","killed_for_meat","ls_no6","meat_use","meat_use.sell","meat_use.use","ls_no7","meat_consumed_amount","meat_sell_amount","meat_sold_income","ls_no8","livestock_meat_who_sells","livestock_meat_who_sells.Female_adult","livestock_meat_who_sells.Female_Youth","livestock_meat_who_sells.Male_adult","livestock_meat_who_control_eating","livestock_meat_who_control_eating.Female_adult","livestock_meat_who_control_eating.Female_Youth","livestock_meat_who_control_eating.Male_adult","livestock_meat_who_control_eating.Male_Youth","ls_no9","milk_harvest","ls_no10","milk_number_animals_milked","milk_amount_good_season","milk_units","milk_amount_units_other","milk_amount_bad_season","ls_no11","milk_use","milk_use.dairy","milk_use.sell","milk_use.use","dairy_products","dairy_products.no_answer","dairy_products.other","dairy_products.yoghurt","dairy_products_other","ls_no12","milk_dairy_amount","milk_consumed_amount","milk_sell_amount","ls_no13","milk_sold_income","milk_sold_price_timeunits","milk_amount_time_units_other","ls_no14","milk_who_sells","milk_who_sells.Female_adult","milk_who_sells.Male_adult","milk_who_control_eating","milk_who_control_eating.Female_adult","milk_who_control_eating.Female_Youth","milk_who_control_eating.Male_adult","milk_who_control_eating.Male_Youth","milk_who_control_eating.no_answer","ls_no15","eggs_harvest","ls_no16","eggs_amount_good","eggs_units","eggs_amount_units_other","eggs_amount_bad","ls_no17","eggs_use","eggs_use.hatch","eggs_use.use","ls_no18","eggs_consumed_amount","eggs_sell_amount","eggs_hatch_amount","ls_no19","eggs_sold_income","eggs_sold_price_timeunits","eggs_sold_price_timeunits_other","ls_no20","eggs_who_sells","eggs_who_control_eating","eggs_who_control_eating.Female_adult","eggs_who_control_eating.Female_Youth","eggs_who_control_eating.Male_adult","eggs_who_control_eating.Male_Youth","ls_no21","bees_honey_production","bees_honey_production_units","bees_honey_production_units_other","bees_honey_use","ls_no22","bees_honey_consumed_amount","bees_honey_sell_amount","ls_no22.1","bees_honey_sold_income","ls_no23","bees_who_sells","bees_who_control_eating","PARENT_KEY","KEY","household_id"
1,"donkey","Anes",NA,NA,NA,"local",0,1,"",NA,0,0,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:c4b02c84-5e7c-45f4-959b-b40d75f69bab","uuid:c4b02c84-5e7c-45f4-959b-b40d75f69bab/survey_grp/Section_Livestock/livestock_repeat[1]","594"
1,"horses","Chevaux",NA,NA,2,"local",0,1,"in_night",NA,0,1,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:e51a4193-b91b-4952-8765-acf9e7f684b4","uuid:e51a4193-b91b-4952-8765-acf9e7f684b4/survey_grp/Section_Livestock/livestock_repeat[1]","71"
1,"donkey","Anes",NA,NA,NA,"local",0,1,"",NA,0,0,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:040b8d42-9bb3-4567-9935-470a89460410","uuid:040b8d42-9bb3-4567-9935-470a89460410/survey_grp/Section_Livestock/livestock_repeat[1]","308"
1,"horses","Chevaux",NA,NA,1,"local",0,1,"in_night",NA,0,0,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:7319a80c-42ab-46b7-8b82-07910f7a8263","uuid:7319a80c-42ab-46b7-8b82-07910f7a8263/survey_grp/Section_Livestock/livestock_repeat[1]","447"
1,"cattle","Bovins",NA,NA,0,"local",0,1,"in_night",NA,1,2,0,NA,NA,NA,"Female_adult",1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"N",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:ee614033-2861-48fd-a0dd-cdd6c87d1864","uuid:ee614033-2861-48fd-a0dd-cdd6c87d1864/survey_grp/Section_Livestock/livestock_repeat[1]","O74I8E"
1,"chicken","Poules",NA,NA,NA,"improved",1,0,"in_always",NA,650,0,200,NA,600000,NA,"Female_adult",1,0,0,0,0,0,0,"Female_adult",1,0,0,0,0,0,50,NA,400,NA,"sell use",1,1,NA,"Little","All",1200000,NA,"Female_adult",1,0,0,"Female_adult",1,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"N",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:d1f9a901-0ddc-4811-a3e5-319da503fccb","uuid:d1f9a901-0ddc-4811-a3e5-319da503fccb/survey_grp/Section_Livestock/livestock_repeat[1]","193"
1,"other1","Chèvre",NA,NA,NA,"local",0,1,"in_always",NA,0,0,0,NA,NA,NA,"Female_adult",1,0,0,0,0,0,0,"",0,0,0,0,0,0,1,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:2b80e6e7-cf79-4689-afec-c879e4d78c03","uuid:2b80e6e7-cf79-4689-afec-c879e4d78c03/survey_grp/Section_Livestock/livestock_repeat[1]","100"
2,"donkey","Anes",NA,NA,NA,"local",0,1,"in_always",NA,0,0,0,NA,NA,NA,"Female_adult",1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:2b80e6e7-cf79-4689-afec-c879e4d78c03","uuid:2b80e6e7-cf79-4689-afec-c879e4d78c03/survey_grp/Section_Livestock/livestock_repeat[2]","100"
1,"other1","Chèvre",NA,NA,NA,"local",0,1,"in_always",NA,0,3,0,NA,NA,NA,"no_answer",0,0,0,0,0,0,1,"",0,0,0,0,0,0,2,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:98fd8f14-9a18-4f20-aa79-35c3bb959a3d","uuid:98fd8f14-9a18-4f20-aa79-35c3bb959a3d/survey_grp/Section_Livestock/livestock_repeat[1]","SOR48M"
2,"horses","Chevaux",NA,NA,1,"local",0,1,"in_always",NA,0,0,0,NA,NA,NA,"no_answer",0,0,0,0,0,0,1,"",0,0,0,0,0,0,1,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:98fd8f14-9a18-4f20-aa79-35c3bb959a3d","uuid:98fd8f14-9a18-4f20-aa79-35c3bb959a3d/survey_grp/Section_Livestock/livestock_repeat[2]","SOR48M"
1,"donkey","Anes",NA,NA,NA,"local",0,1,"in_night",NA,0,0,0,NA,NA,NA,"Female_adult",1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:7a1e33cd-7931-4083-ba87-1e4c8f764f7a","uuid:7a1e33cd-7931-4083-ba87-1e4c8f764f7a/survey_grp/Section_Livestock/livestock_repeat[1]","98"
1,"horses","Chevaux",NA,NA,2,"local",0,1,"in_night",NA,0,0,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,NA,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:58673e62-c32b-4a0d-8732-5fc7d5680cd1","uuid:58673e62-c32b-4a0d-8732-5fc7d5680cd1/survey_grp/Section_Livestock/livestock_repeat[1]","103"
1,"donkey","Anes",NA,NA,NA,"local",0,1,"in_night_and_half_day",NA,0,0,0,NA,NA,NA,"Male_adult",0,0,0,1,0,0,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:033c7523-b0f8-4adf-8aa0-f0ae6af44258","uuid:033c7523-b0f8-4adf-8aa0-f0ae6af44258/survey_grp/Section_Livestock/livestock_repeat[1]","F395Z8"
1,"goats","Caprins",NA,NA,NA,"local",0,1,"in_night_and_half_day",NA,0,0,0,NA,NA,NA,"Female_adult",1,0,0,0,0,0,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"N",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:e3f977a7-65a7-48a1-bea6-ce531a020075","uuid:e3f977a7-65a7-48a1-bea6-ce531a020075/survey_grp/Section_Livestock/livestock_repeat[1]","104"
1,"chicken","Poules",NA,NA,NA,"local improved",1,1,"in_always",NA,0,0,0,NA,NA,NA,"Male_Youth",0,0,0,0,0,1,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"Y",NA,15,"pieces/day",NA,8,NA,"use hatch",1,1,NA,"Little",NA,"Most",NA,NA,NA,NA,NA,NA,"Male_Youth",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:ec6d8d4c-708e-462b-9c40-75ec525a34c1","uuid:ec6d8d4c-708e-462b-9c40-75ec525a34c1/survey_grp/Section_Livestock/livestock_repeat[1]","1PV5DM"
2,"goats","Caprins",NA,NA,NA,"local",0,1,"in_night_and_half_day",NA,0,4,0,NA,NA,NA,"Male_Youth",0,0,0,0,0,1,0,"",0,0,0,0,0,0,0,NA,1,NA,"use",0,1,NA,"Little","",NA,NA,"",0,0,0,"Male_Youth",0,0,0,1,NA,"N",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:ec6d8d4c-708e-462b-9c40-75ec525a34c1","uuid:ec6d8d4c-708e-462b-9c40-75ec525a34c1/survey_grp/Section_Livestock/livestock_repeat[2]","1PV5DM"
3,"sheep","Ovins",NA,NA,NA,"local",0,1,"in_night_and_half_day",NA,0,0,0,NA,NA,NA,"Male_Youth",0,0,0,0,0,1,0,"",0,0,0,0,0,0,0,NA,0,NA,"",0,0,NA,"","",NA,NA,"",0,0,0,"",0,0,0,0,NA,"N",NA,NA,NA,"",NA,NA,NA,"",0,0,0,"",0,0,0,"",NA,"","","",NA,NA,"",NA,NA,"",0,0,"",0,0,0,0,0,NA,"",NA,NA,"",NA,NA,NA,"",0,0,NA,"",NA,"",NA,NA,NA,NA,NA,NA,"",0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uuid:ec6d8d4c-708e-462b-9c40-75ec525a34c1","uuid:ec6d8d4c-708e-462b-9c40-75ec525a34c1/survey_grp/Section_Livestock/livestock_repeat[3]","1PV5DM"
