"crop_rep_number","crop_id","crop_label_english","crop_label","crop_name","season_grown","season_grown.all_year","season_grown.dry_cold","season_grown.dry_hot","season_grown.rain","crop_measurement","crop_measurement_q_en","crop_measurement_q_fr","crop_area","crop_area_unit","crop_area_unit_label","crop_area_conversion","crop_area_conversion_input","crop_area_conversion_col","crop_area_ha","crop_area_ha_2dp","crop_area_ha_note","crop_harvest","crop_yield","crop_yield_units","crop_yield_units_label","crop_yield_units_conversion","crop_yield_conversion_input","crop_yield_units_conversion_col","crop_yield_kg","crop_yield_kg_2dp","crop_yield_note","crop_yield_area","crop_yield_area_2dp","crop_yield_kg_ha","crop_yield_kg_ha_2dp","crop_yield_note2","crop_yield_note3","crop_intercrop","crop_land_area","crop_no2","crop_use","crop_use.eat","crop_use.feed_livestock","crop_use.givetrade","crop_use.no_answer","crop_use.no_harvest","crop_use.save_seed","crop_use.sell","crop_no3","crop_consumed_prop","crop_sold_prop","crop_feed_lstk_prop","crop_seed_saved_prop","crop_no4","crop_sold_income","crop_sold_price_quantityunits","crop_price_quantityunits_other","crop_no5","crop_who_control_revenue","crop_who_control_revenue.Female_adult","crop_who_control_revenue.Female_Youth","crop_who_control_revenue.Male_adult","crop_who_control_revenue.Male_Child","crop_who_control_revenue.Male_Youth","crop_who_control_revenue.no_answer","crop_consume_control","crop_consume_control.Female_adult","crop_consume_control.Female_Youth","crop_consume_control.Male_adult","crop_consume_control.Male_Child","crop_consume_control.Male_Youth","crop_consume_control.no_answer","crop_no6","crop_residue_use","crop_residue_use.burn","crop_residue_use.compost","crop_residue_use.construction","crop_residue_use.feed","crop_residue_use.fuel","crop_residue_use.no_answer","crop_residue_use.sell","crop_residue_use.soil","PARENT_KEY","KEY","crop_label_french","household_id"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",25,2,"Hectares",1,NA,1,25,25,NA,"normal_harvest",15,2,"Tonnes",1000,NA,1000,15000,15000,NA,0.6,0.6,600,600,NA,NA,"monoculture","All",NA,"eat sell feed_livestock save_seed",1,1,0,0,0,1,1,NA,"All","UnderHalf","Little","UnderHalf",NA,4575000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"feed",0,0,0,1,0,0,0,0,"uuid:4f6afde8-c888-45a2-9a84-7fb3e46c969a","uuid:4f6afde8-c888-45a2-9a84-7fb3e46c969a/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","88"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",600,1,"Kg",1,NA,1,600,600,NA,600,600,600,600,NA,NA,"monoculture","Most",NA,"eat feed_livestock save_seed",1,1,0,0,0,1,0,NA,"All","","Little","UnderHalf",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd","uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","89"
2,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",2,2,"Hectares",1,NA,1,2,2,NA,"normal_harvest",2,2,"Tonnes",1000,NA,1000,2000,2000,NA,1,1,1000,1000,NA,NA,"monoculture","Most",NA,"eat feed_livestock save_seed",1,1,0,0,0,1,0,NA,"All","","Little","UnderHalf",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd","uuid:fc1c3a8a-7a2d-42f1-a6a0-058a2dcaabcd/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Mil","89"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",6,2,"Hectares",1,NA,1,6,6,NA,"normal_harvest",10,2,"Tonnes",1000,NA,1000,10000,10000,NA,1.6666666666666667,1.67,1666.6666666666667,1666.67,NA,NA,"monoculture","All",NA,"eat sell feed_livestock save_seed",1,1,0,0,0,1,1,NA,"All","Most","Little","UnderHalf",NA,175,"price_per_kg",NA,NA,"no_answer",0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","X4OBZH"
2,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",4,2,"Hectares",1,NA,1,4,4,NA,"normal_harvest",4,2,"Tonnes",1000,NA,1000,4000,4000,NA,1,1,1000,1000,NA,NA,"monoculture","All",NA,"eat save_seed feed_livestock sell",1,1,0,0,0,1,1,NA,"All","Little","Little","UnderHalf",NA,305,"price_per_kg",NA,NA,"no_answer",0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Arachide","X4OBZH"
3,1,"Maize","Maïs",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Maïs during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Maïs au cours des 12 dernier mois ?",2,2,"Hectares",1,NA,1,2,2,NA,"normal_harvest",6,2,"Tonnes",1000,NA,1000,6000,6000,NA,3,3,3000,3000,NA,NA,"monoculture","All",NA,"eat sell feed_livestock save_seed",1,1,0,0,0,1,1,NA,"All","UnderHalf","Little","UnderHalf",NA,150,"price_per_kg",NA,NA,"no_answer",0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:5ba80515-cd72-459f-81bb-19eddeae6414","uuid:5ba80515-cd72-459f-81bb-19eddeae6414/survey_grp/SECTION_Crop_Productivity/crop_repeat[3]","Maïs","X4OBZH"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",2,2,"Hectares",1,NA,1,2,2,NA,"normal_harvest",1350,1,"Kg",1,NA,1,1350,1350,NA,675,675,675,675,NA,NA,"monoculture","Most",NA,"save_seed",0,0,0,0,0,1,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"",0,0,0,0,0,0,NA,"soil feed sell",0,0,0,1,0,0,1,1,"uuid:e51a4193-b91b-4952-8765-acf9e7f684b4","uuid:e51a4193-b91b-4952-8765-acf9e7f684b4/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","71"
1,30,"Onion","Oignon",NA,"dry_cold dry_hot",0,1,1,0,"area","In total, how much land did you use for growing Oignon during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Oignon au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",6800,1,"Kg",1,NA,1,6800,6800,NA,6800,6800,6800,6800,NA,NA,"intercrop","Half",NA,"eat sell",1,0,0,0,0,0,1,NA,"Little","Most","","",NA,600000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult Female_Youth",0,1,1,0,0,0,NA,"soil compost",0,1,0,0,0,0,0,1,"uuid:2615701c-647c-4d1a-8261-7e7aaca72815","uuid:2615701c-647c-4d1a-8261-7e7aaca72815/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Oignon","21"
1,30,"Onion","Oignon",NA,"dry_cold dry_hot",0,1,1,0,"area","In total, how much land did you use for growing Oignon during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Oignon au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",6.5,2,"Tonnes",1000,NA,1000,6500,6500,NA,6.5,6.5,6500,6500,NA,NA,"intercrop","Most",NA,"eat sell",1,0,0,0,0,0,1,NA,"Little","Most","","",NA,650000,"total_income_per_year",NA,NA,"Female_adult Male_Youth",1,0,0,0,1,0,"Female_adult Male_Youth",1,0,0,0,1,0,NA,"soil",0,0,0,0,0,0,0,1,"uuid:58f0bd1f-700d-40f5-aca0-f8a3f19fb3ec","uuid:58f0bd1f-700d-40f5-aca0-f8a3f19fb3ec/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Oignon","22"
1,30,"Onion","Oignon",NA,"dry_hot dry_cold",0,1,1,0,"area","In total, how much land did you use for growing Oignon during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Oignon au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",6500,1,"Kg",1,NA,1,6500,6500,NA,6500,6500,6500,6500,NA,NA,"intercrop","Half",NA,"eat sell",1,0,0,0,0,0,1,NA,"Little","Most","","",NA,650000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"compost soil",0,1,0,0,0,0,0,1,"uuid:befcb4be-5146-4f08-869f-15a6b6e18086","uuid:befcb4be-5146-4f08-869f-15a6b6e18086/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Oignon","20"
1,30,"Onion","Oignon",NA,"dry_cold dry_hot",0,1,1,0,"area","In total, how much land did you use for growing Oignon during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Oignon au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",6500,1,"Kg",1,NA,1,6500,6500,NA,6500,6500,6500,6500,NA,NA,"intercrop","Most",NA,"eat sell",1,0,0,0,0,0,1,NA,"UnderHalf","Most","","",NA,450000,"total_income_per_year",NA,NA,"Female_adult Female_Youth",1,1,0,0,0,0,"Female_adult Female_Youth",1,1,0,0,0,0,NA,"soil",0,0,0,0,0,0,0,1,"uuid:48dc26b1-7bb0-4a31-bc01-0b5d0a1999ea","uuid:48dc26b1-7bb0-4a31-bc01-0b5d0a1999ea/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Oignon","8"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",400,1,"Kg",1,NA,1,400,400,NA,400,400,400,400,NA,NA,"monoculture","Most",NA,"eat sell feed_livestock",1,1,0,0,0,0,1,NA,"UnderHalf","Most","Little","",NA,150000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult Female_adult",1,0,1,0,0,0,NA,"feed sell",0,0,0,1,0,0,1,0,"uuid:f3980787-4c02-4e6d-b63e-af1ee9c7a90f","uuid:f3980787-4c02-4e6d-b63e-af1ee9c7a90f/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","5"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",0.25,2,"Hectares",1,NA,1,0.25,0.25,NA,"normal_harvest",4,8,"Sac de 50 Kg",50,NA,50,200,200,NA,16,16,800,800,NA,NA,"intercrop","Half",NA,"eat save_seed sell",1,0,0,0,0,1,1,NA,"UnderHalf","UnderHalf","","Little",NA,30000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"soil feed compost",0,1,0,1,0,0,0,1,"uuid:040b8d42-9bb3-4567-9935-470a89460410","uuid:040b8d42-9bb3-4567-9935-470a89460410/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","308"
2,53,"Cowpea","Niébé",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Niébé during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Niébé au cours des 12 dernier mois ?",0.2,2,"Hectares",1,NA,1,0.2,0.2,NA,"bad_harvest",2,8,"Sac de 50 Kg",50,NA,50,100,100,NA,10,10,500,500,NA,NA,"intercrop","UnderHalf",NA,"eat sell save_seed",1,0,0,0,0,1,1,NA,"None","Half","","Little",NA,40000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"feed soil compost",0,1,0,1,0,0,0,1,"uuid:040b8d42-9bb3-4567-9935-470a89460410","uuid:040b8d42-9bb3-4567-9935-470a89460410/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Niébé","308"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",0.5,2,"Hectares",1,NA,1,0.5,0.5,NA,"bad_harvest",2,8,"Sac de 50 Kg",50,NA,50,100,100,NA,4,4,200,200,NA,NA,"monoculture","All",NA,"eat",1,0,0,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"compost feed",0,1,0,1,0,0,0,0,"uuid:7319a80c-42ab-46b7-8b82-07910f7a8263","uuid:7319a80c-42ab-46b7-8b82-07910f7a8263/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","447"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",0.4,2,"Hectares",1,NA,1,0.4,0.4,NA,"normal_harvest",20,8,"Sac de 50 Kg",50,NA,50,1000,1000,NA,50,50,2500,2500,NA,NA,"monoculture","All",NA,"eat givetrade save_seed",1,0,1,0,0,1,0,NA,"Half","","","Little",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"feed soil compost",0,1,0,1,0,0,0,1,"uuid:ee614033-2861-48fd-a0dd-cdd6c87d1864","uuid:ee614033-2861-48fd-a0dd-cdd6c87d1864/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","O74I8E"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",1.5,2,"Hectares",1,NA,1,1.5,1.5,NA,"good_harvest",15,8,"Sac de 50 Kg",50,NA,50,750,750,NA,10,10,500,500,NA,NA,"intercrop","UnderHalf",NA,"eat save_seed",1,0,0,0,0,1,0,NA,"Most","","","UnderHalf",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Male_adult Female_adult",1,0,1,0,0,0,NA,"soil feed compost",0,1,0,1,0,0,0,1,"uuid:d1f9a901-0ddc-4811-a3e5-319da503fccb","uuid:d1f9a901-0ddc-4811-a3e5-319da503fccb/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","193"
2,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1.5,2,"Hectares",1,NA,1,1.5,1.5,NA,"bad_harvest",100,1,"Kg",1,NA,1,100,100,NA,66.66666666666667,66.67,66.66666666666667,66.67,NA,NA,"intercrop","UnderHalf",NA,"eat save_seed feed_livestock",1,1,0,0,0,1,0,NA,"UnderHalf","","Little","Half",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Male_adult Female_adult",1,0,1,0,0,0,NA,"feed soil compost",0,1,0,1,0,0,0,1,"uuid:d1f9a901-0ddc-4811-a3e5-319da503fccb","uuid:d1f9a901-0ddc-4811-a3e5-319da503fccb/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Arachide","193"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"bad_harvest",150,1,"Kg",1,NA,1,150,150,NA,150,150,150,150,NA,NA,"monoculture","UnderHalf",NA,"eat feed_livestock",1,1,0,0,0,0,0,NA,"All","","Little","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Female_adult Male_adult",1,0,1,0,0,0,NA,"feed soil compost",0,1,0,1,0,0,0,1,"uuid:dde7db34-7aed-457e-9b46-f3b96b9ce3b1","uuid:dde7db34-7aed-457e-9b46-f3b96b9ce3b1/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","I2XEN5"
2,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",0.7,2,"Hectares",1,NA,1,0.7,0.7,NA,"normal_harvest",6,8,"Sac de 50 Kg",50,NA,50,300,300,NA,8.571428571428571,8.57,428.5714285714286,428.57,NA,NA,"monoculture","UnderHalf",NA,"eat",1,0,0,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Male_adult Female_adult",1,0,1,0,0,0,NA,"construction feed soil",0,0,1,1,0,0,0,1,"uuid:dde7db34-7aed-457e-9b46-f3b96b9ce3b1","uuid:dde7db34-7aed-457e-9b46-f3b96b9ce3b1/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Mil","I2XEN5"
1,54,"Bissap","Bissap",NA,"rain dry_cold",0,1,0,1,"area","In total, how much land did you use for growing Bissap during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Bissap au cours des 12 dernier mois ?",0.5,2,"Hectares",1,NA,1,0.5,0.5,NA,"normal_harvest",9000,1,"Kg",1,NA,1,9000,9000,NA,18000,18000,18000,18000,NA,NA,"intercrop","Half",NA,"sell eat feed_livestock save_seed",1,1,0,0,0,1,1,NA,"Little","Little","Little","Little",NA,280000,"price_per_kg",NA,NA,"Female_adult",1,0,0,0,0,0,"Female_adult",1,0,0,0,0,0,NA,"soil feed compost",0,1,0,1,0,0,0,1,"uuid:c20cbd30-39f1-4c98-b58e-5ddacce681b4","uuid:c20cbd30-39f1-4c98-b58e-5ddacce681b4/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Bissap","U8B8T1"
2,53,"Cowpea","Niébé",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Niébé during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Niébé au cours des 12 dernier mois ?",0.25,2,"Hectares",1,NA,1,0.25,0.25,NA,"bad_harvest",50,1,"Kg",1,NA,1,50,50,NA,200,200,200,200,NA,NA,"monoculture","UnderHalf",NA,"eat feed_livestock",1,1,0,0,0,0,0,NA,"Most","","UnderHalf","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Female_adult",1,0,0,0,0,0,NA,"soil feed compost",0,1,0,1,0,0,0,1,"uuid:c20cbd30-39f1-4c98-b58e-5ddacce681b4","uuid:c20cbd30-39f1-4c98-b58e-5ddacce681b4/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Niébé","U8B8T1"
2,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",1,2,"Tonnes",1000,NA,1000,1000,1000,NA,1,1,1000,1000,NA,NA,"monoculture","All",NA,"eat feed_livestock save_seed",1,1,0,0,0,1,0,NA,"All","","Little","UnderHalf",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:2b80e6e7-cf79-4689-afec-c879e4d78c03","uuid:2b80e6e7-cf79-4689-afec-c879e4d78c03/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Mil","100"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",500,1,"Kg",1,NA,1,500,500,NA,500,500,500,500,NA,NA,"monoculture","Most",NA,"sell eat save_seed feed_livestock",1,1,0,0,0,1,1,NA,"All","UnderHalf","Little","UnderHalf",NA,250,"price_per_kg",NA,NA,"no_answer",0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:87d0abc8-4559-4180-875d-779e709f7059","uuid:87d0abc8-4559-4180-875d-779e709f7059/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","97"
2,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",2,2,"Tonnes",1000,NA,1000,2000,2000,NA,2,2,2000,2000,NA,NA,"monoculture","All",NA,"eat feed_livestock save_seed",1,1,0,0,0,1,0,NA,"All","","Little","UnderHalf",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:87d0abc8-4559-4180-875d-779e709f7059","uuid:87d0abc8-4559-4180-875d-779e709f7059/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Mil","97"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",500,1,"Kg",1,NA,1,500,500,NA,500,500,500,500,NA,NA,"monoculture","Most",NA,"eat sell feed_livestock save_seed",1,1,0,0,0,1,1,NA,"All","UnderHalf","Little","UnderHalf",NA,250,"price_per_kg",NA,NA,"no_answer",0,0,0,0,0,1,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:98fd8f14-9a18-4f20-aa79-35c3bb959a3d","uuid:98fd8f14-9a18-4f20-aa79-35c3bb959a3d/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","SOR48M"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",1,2,"Tonnes",1000,NA,1000,1000,1000,NA,1,1,1000,1000,NA,NA,"intercrop","UnderHalf",NA,"sell eat save_seed",1,0,0,0,0,1,1,NA,"UnderHalf","Most","","Little",NA,300000,"total_income_per_year",NA,NA,"Female_adult",1,0,0,0,0,0,"Female_adult",1,0,0,0,0,0,NA,"feed",0,0,0,1,0,0,0,0,"uuid:7a1e33cd-7931-4083-ba87-1e4c8f764f7a","uuid:7a1e33cd-7931-4083-ba87-1e4c8f764f7a/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","98"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",2,2,"Hectares",1,NA,1,2,2,NA,"normal_harvest",2,2,"Tonnes",1000,NA,1000,2000,2000,NA,1,1,1000,1000,NA,NA,"intercrop","Most",NA,"eat sell save_seed feed_livestock",1,1,0,0,0,1,1,NA,"UnderHalf","Most","Little","Little",NA,500000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"soil feed",0,0,0,1,0,0,0,1,"uuid:58673e62-c32b-4a0d-8732-5fc7d5680cd1","uuid:58673e62-c32b-4a0d-8732-5fc7d5680cd1/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","103"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",3,2,"Hectares",1,NA,1,3,3,NA,"bad_harvest",700,1,"Kg",1,NA,1,700,700,NA,233.33333333333334,233.33,233.33333333333334,233.33,NA,NA,"monoculture","UnderHalf",NA,"eat",1,0,0,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"soil feed compost construction",0,1,1,1,0,0,0,1,"uuid:033c7523-b0f8-4adf-8aa0-f0ae6af44258","uuid:033c7523-b0f8-4adf-8aa0-f0ae6af44258/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","F395Z8"
1,36,"Peanut","Arachide",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Arachide during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Arachide au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",700,1,"Kg",1,NA,1,700,700,NA,700,700,700,700,NA,NA,"intercrop","Half",NA,"eat sell save_seed feed_livestock",1,1,0,0,0,1,1,NA,"Half","Half","Little","Little",NA,0,"total_income_per_year",NA,NA,"Female_adult",1,0,0,0,0,0,"Female_adult",1,0,0,0,0,0,NA,"soil feed compost construction sell",0,1,1,1,0,0,1,1,"uuid:e3f977a7-65a7-48a1-bea6-ce531a020075","uuid:e3f977a7-65a7-48a1-bea6-ce531a020075/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Arachide","104"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",1,2,"Hectares",1,NA,1,1,1,NA,"normal_harvest",125,1,"Kg",1,NA,1,125,125,NA,125,125,125,125,NA,NA,"monoculture","Little",NA,"eat",1,0,0,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Male_Youth",0,0,0,0,1,0,NA,"construction",0,0,1,0,0,0,0,0,"uuid:ec6d8d4c-708e-462b-9c40-75ec525a34c1","uuid:ec6d8d4c-708e-462b-9c40-75ec525a34c1/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","1PV5DM"
