"crop_rep_number","crop_id","crop_label_english","crop_label","crop_name","season_grown","season_grown.all_year","season_grown.dry_cold","season_grown.dry_hot","season_grown.rain","crop_measurement","crop_measurement_q_en","crop_measurement_q_fr","crop_area","crop_area_unit","crop_area_unit_label","crop_area_conversion","crop_area_conversion_input","crop_area_conversion_col","crop_area_ha","crop_area_ha_2dp","crop_area_ha_note","crop_harvest","crop_yield","crop_yield_units","crop_yield_units_label","crop_yield_units_conversion","crop_yield_conversion_input","crop_yield_units_conversion_col","crop_yield_kg","crop_yield_kg_2dp","crop_yield_note","crop_yield_area","crop_yield_area_2dp","crop_yield_kg_ha","crop_yield_kg_ha_2dp","crop_yield_note2","crop_yield_note3","crop_intercrop","crop_land_area","crop_no2","crop_use","crop_use.eat","crop_use.feed_livestock","crop_use.givetrade","crop_use.no_answer","crop_use.no_harvest","crop_use.save_seed","crop_use.sell","crop_no3","crop_consumed_prop","crop_sold_prop","crop_feed_lstk_prop","crop_seed_saved_prop","crop_no4","crop_sold_income","crop_sold_price_quantityunits","crop_price_quantityunits_other","crop_no5","crop_who_control_revenue","crop_who_control_revenue.Female_adult","crop_who_control_revenue.Female_Youth","crop_who_control_revenue.Male_adult","crop_who_control_revenue.Male_Child","crop_who_control_revenue.Male_Youth","crop_who_control_revenue.no_answer","crop_consume_control","crop_consume_control.Female_adult","crop_consume_control.Female_Youth","crop_consume_control.Male_adult","crop_consume_control.Male_Child","crop_consume_control.Male_Youth","crop_consume_control.no_answer","crop_no6","crop_residue_use","crop_residue_use.burn","crop_residue_use.compost","crop_residue_use.construction","crop_residue_use.feed","crop_residue_use.fuel","crop_residue_use.no_answer","crop_residue_use.sell","crop_residue_use.soil","PARENT_KEY","KEY","crop_label_french","household_id"
1,97,"Other 1 : ${crops_other1}","Autre 1 : Menthe (Nana)",NA,"dry_hot dry_cold",0,1,1,0,"area","In total, how much land did you use for growing Autre 1 : Menthe (Nana) during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Autre 1 : Menthe (Nana) au cours des 12 dernier mois ?",83.33,5,"Mètres carrés",1e-4,NA,1e-4,0.008333,0.03,NA,"bad_harvest",250,1,"Kg",1,NA,1,250,250,NA,0.8333333333333334,0.83,30001.20004800192,30001.2,NA,NA,"intercrop","Most",NA,"eat sell",1,0,0,0,0,0,1,NA,"UnderHalf","Most","","",NA,75000,"total_income_per_year",NA,NA,"Female_adult",1,0,0,0,0,0,"Male_adult Female_adult",1,0,1,0,0,0,NA,"compost",0,1,0,0,0,0,0,0,"uuid:3d7644b0-9817-42f2-b86b-5c85276594fb","uuid:3d7644b0-9817-42f2-b86b-5c85276594fb/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Autre 1 : ${crops_other1}","3"
2,22,"Sweet Chili","Piment doux",NA,"dry_hot dry_cold",0,1,1,0,"area","In total, how much land did you use for growing Piment doux during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Piment doux au cours des 12 dernier mois ?",200,5,"Mètres carrés",1e-4,NA,1e-4,0.02,0.03,NA,"normal_harvest",300,1,"Kg",1,NA,1,300,300,NA,1.2,1.2,15000,15000,NA,NA,"intercrop","UnderHalf",NA,"eat sell",1,0,0,0,0,0,1,NA,"UnderHalf","Most","","",NA,120000,"total_income_per_year",NA,NA,"Female_adult",1,0,0,0,0,0,"Male_adult Female_adult",1,0,1,0,0,0,NA,"compost",0,1,0,0,0,0,0,0,"uuid:3d7644b0-9817-42f2-b86b-5c85276594fb","uuid:3d7644b0-9817-42f2-b86b-5c85276594fb/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Piment doux","3"
1,30,"Onion","Oignon",NA,"all_year",1,0,0,0,"area","In total, how much land did you use for growing Oignon during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Oignon au cours des 12 dernier mois ?",700,5,"Mètres carrés",1e-4,NA,1e-4,0.07,0.2,NA,"normal_harvest",70,7,"Sac de 25 kg",25,NA,25,1750,1750,NA,0.035,0.04,24999.999999999996,25000,NA,NA,"intercrop","UnderHalf",NA,"eat sell",1,0,0,0,0,0,1,NA,"UnderHalf","Most","","",NA,500000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"compost feed",0,1,0,1,0,0,0,0,"uuid:711f4e24-0876-4935-b3b9-b58361b887c9","uuid:711f4e24-0876-4935-b3b9-b58361b887c9/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Oignon","1"
2,31,"Potato","Pomme de terre",NA,"all_year",1,0,0,0,"area","In total, how much land did you use for growing Pomme de terre during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Pomme de terre au cours des 12 dernier mois ?",3333.33,5,"Mètres carrés",1e-4,NA,1e-4,0.333333,0.4,NA,"normal_harvest",200,8,"Sac de 50 Kg",50,NA,50,10000,10000,NA,0.05,0.05,30000.03000003,30000.03,NA,NA,"intercrop","UnderHalf",NA,"eat sell feed_livestock",1,1,0,0,0,0,1,NA,"UnderHalf","Most","UnderHalf","",NA,1200000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"feed compost",0,1,0,1,0,0,0,0,"uuid:711f4e24-0876-4935-b3b9-b58361b887c9","uuid:711f4e24-0876-4935-b3b9-b58361b887c9/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Pomme de terre","1"
1,52,"Lemon trees","Citronniers",NA,"all_year",1,0,0,0,"area","In total, how much land did you use for growing Citronniers during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Citronniers au cours des 12 dernier mois ?",10000,5,"Mètres carrés",1e-4,NA,1e-4,1,0,NA,"normal_harvest",950,1,"Kg",1,NA,1,950,950,NA,950,950,950,950,NA,NA,"monoculture","UnderHalf",NA,"eat sell",1,0,0,0,0,0,1,NA,"UnderHalf","Most","","",NA,350000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult Female_adult",1,0,1,0,0,0,NA,"soil",0,0,0,0,0,0,0,1,"uuid:a7386a3d-23ab-4ac1-86fd-24994bb43fa8","uuid:a7386a3d-23ab-4ac1-86fd-24994bb43fa8/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Citronniers","11"
2,18,"Papaya","Papaye",NA,"all_year",1,0,0,0,"area","In total, how much land did you use for growing Papaye during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Papaye au cours des 12 dernier mois ?",200,5,"Mètres carrés",1e-4,NA,1e-4,0.02,0.07,NA,"normal_harvest",1,2,"Tonnes",1000,NA,1000,1000,1000,NA,0.0014285714285714286,0,50000,50000,NA,NA,"intercrop","UnderHalf",NA,"eat sell",1,0,0,0,0,0,1,NA,"UnderHalf","Most","","",NA,550000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Female_adult Male_adult",1,0,1,0,0,0,NA,"soil compost",0,1,0,0,0,0,0,1,"uuid:a7386a3d-23ab-4ac1-86fd-24994bb43fa8","uuid:a7386a3d-23ab-4ac1-86fd-24994bb43fa8/survey_grp/SECTION_Crop_Productivity/crop_repeat[2]","Papaye","11"
1,37,"Millet","Mil",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Mil during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Mil au cours des 12 dernier mois ?",577,5,"Mètres carrés",1e-4,NA,1e-4,0.0577,0.02,NA,"good_harvest",300,1,"Kg",1,NA,1,300,300,NA,2,2,5199.306759098787,5199.31,NA,NA,"monoculture","All",NA,"eat",1,0,0,0,0,0,0,NA,"","","","",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"Male_adult",0,0,1,0,0,0,NA,"feed",0,0,0,1,0,0,0,0,"uuid:c4b02c84-5e7c-45f4-959b-b40d75f69bab","uuid:c4b02c84-5e7c-45f4-959b-b40d75f69bab/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Mil","594"
1,49,"Tomatoes","Tomates",NA,"dry_cold dry_hot",0,1,1,0,"area","In total, how much land did you use for growing Tomates during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Tomates au cours des 12 dernier mois ?",133.33,5,"Mètres carrés",1e-4,NA,1e-4,0.013333000000000001,0.06,NA,"normal_harvest",400,1,"Kg",1,NA,1,400,400,NA,0.6666666666666666,0.67,30000.750018750467,30000.75,NA,NA,"intercrop","All",NA,"eat sell",1,0,0,0,0,0,1,NA,"Little","Most","","",NA,250000,"total_income_per_year",NA,NA,"Male_adult",0,0,1,0,0,0,"Male_adult Female_adult",1,0,1,0,0,0,NA,"soil compost",0,1,0,0,0,0,0,1,"uuid:1f12f3e0-e269-4581-8937-b05a73b5237f","uuid:1f12f3e0-e269-4581-8937-b05a73b5237f/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Tomates","6"
1,1,"Maize","Maïs",NA,"rain",0,0,0,1,"area","In total, how much land did you use for growing Maïs during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Maïs au cours des 12 dernier mois ?",500,5,"Mètres carrés",1e-4,NA,1e-4,0.05,0.05,NA,"normal_harvest",300,1,"Kg",1,NA,1,3,3,NA,0.006,0.01,60,60,NA,NA,"monoculture","All",NA,"eat save_seed",1,0,0,0,0,1,0,NA,"All","","","UnderHalf",NA,NA,"",NA,NA,"",0,0,0,0,0,0,"no_answer",0,0,0,0,0,1,NA,"feed",0,0,0,1,0,0,0,0,"uuid:2b80e6e7-cf79-4689-afec-c879e4d78c03","uuid:2b80e6e7-cf79-4689-afec-c879e4d78c03/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Maïs","100"
1,8,"Chilli Peppers","Poivrons",NA,"dry_cold dry_hot",0,1,1,0,"area","In total, how much land did you use for growing Poivrons during the last 12 months?","Au total, quelle superficie avez-vous utilisée pour Poivrons au cours des 12 dernier mois ?",167,5,"Mètres carrés",1e-4,NA,1e-4,0.0167,0.03,NA,"good_harvest",500,1,"Kg",1,NA,1,500,500,NA,2,2,29940.119760479043,29940.12,NA,NA,"intercrop","Most",NA,"eat sell",1,0,0,0,0,0,1,NA,"Little","All","","",NA,350000,"total_income_per_year",NA,NA,"Female_Youth",0,1,0,0,0,0,"Female_Youth",0,1,0,0,0,0,NA,"soil compost",0,1,0,0,0,0,0,1,"uuid:d6a446cb-4359-4096-b352-9e9d57e058a6","uuid:d6a446cb-4359-4096-b352-9e9d57e058a6/survey_grp/SECTION_Crop_Productivity/crop_repeat[1]","Poivrons","16"
