"hh_pop_rep_num","hh_intro","hhead_note","person_number","person_gender","person_age","male_adult","female_adult","male_youth","female_youth","male_child","female_child","PARENT_KEY","KEY"
1,NA,NA,NA,"F",49,0,2,0,0,0,0,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:078fb83b-29f4-4c0a-aa88-ef5131364310/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",77,1,0,0,0,0,0,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:078fb83b-29f4-4c0a-aa88-ef5131364310/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",10,0,0,0,0,0,6,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:078fb83b-29f4-4c0a-aa88-ef5131364310/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",8,0,0,0,0,5,0,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:078fb83b-29f4-4c0a-aa88-ef5131364310/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
5,NA,NA,NA,"F",5,0,0,0,0,0,6,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:078fb83b-29f4-4c0a-aa88-ef5131364310/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[5]"
1,NA,NA,NA,"M",31,1,0,0,0,0,0,"uuid:b0da89a5-12bd-4511-8539-79cd0594309a","uuid:b0da89a5-12bd-4511-8539-79cd0594309a/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",32,0,2,0,0,0,0,"uuid:b0da89a5-12bd-4511-8539-79cd0594309a","uuid:b0da89a5-12bd-4511-8539-79cd0594309a/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",9,0,0,0,0,5,0,"uuid:b0da89a5-12bd-4511-8539-79cd0594309a","uuid:b0da89a5-12bd-4511-8539-79cd0594309a/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",2,0,0,0,0,5,0,"uuid:b0da89a5-12bd-4511-8539-79cd0594309a","uuid:b0da89a5-12bd-4511-8539-79cd0594309a/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"M",47,1,0,0,0,0,0,"uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd","uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",45,0,2,0,0,0,0,"uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd","uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",18,0,0,0,4,0,0,"uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd","uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"F",10,0,0,0,0,0,6,"uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd","uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"F",32,0,2,0,0,0,0,"uuid:3a90018b-e2c9-449f-a3b0-7e611e196595","uuid:3a90018b-e2c9-449f-a3b0-7e611e196595/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",16,0,0,0,4,0,0,"uuid:3a90018b-e2c9-449f-a3b0-7e611e196595","uuid:3a90018b-e2c9-449f-a3b0-7e611e196595/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",34,1,0,0,0,0,0,"uuid:3a90018b-e2c9-449f-a3b0-7e611e196595","uuid:3a90018b-e2c9-449f-a3b0-7e611e196595/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
1,NA,NA,NA,"M",62,1,0,0,0,0,0,"uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9","uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",42,0,2,0,0,0,0,"uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9","uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
1,NA,NA,NA,"F",32,0,2,0,0,0,0,"uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5","uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",16,0,0,0,4,0,0,"uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5","uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",13,0,0,0,0,5,0,"uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5","uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"F",11,0,0,0,0,0,6,"uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5","uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"F",34,0,2,0,0,0,0,"uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79","uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",35,1,0,0,0,0,0,"uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79","uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"M",5,0,0,0,0,5,0,"uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79","uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"F",11,0,0,0,0,0,6,"uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79","uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"M",69,1,0,0,0,0,0,"uuid:6819f15f-5890-464b-8fac-dfb2478d1eba","uuid:6819f15f-5890-464b-8fac-dfb2478d1eba/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",72,0,2,0,0,0,0,"uuid:6819f15f-5890-464b-8fac-dfb2478d1eba","uuid:6819f15f-5890-464b-8fac-dfb2478d1eba/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
3,NA,NA,NA,"F",78,0,2,0,0,0,0,"uuid:6819f15f-5890-464b-8fac-dfb2478d1eba","uuid:6819f15f-5890-464b-8fac-dfb2478d1eba/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[3]"
4,NA,NA,NA,"M",17,0,0,3,0,0,0,"uuid:6819f15f-5890-464b-8fac-dfb2478d1eba","uuid:6819f15f-5890-464b-8fac-dfb2478d1eba/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[4]"
1,NA,NA,NA,"F",19,0,0,0,4,0,0,"uuid:c2a3a52b-d319-47d6-b6a4-3b92bb420224","uuid:c2a3a52b-d319-47d6-b6a4-3b92bb420224/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"M",18,0,0,3,0,0,0,"uuid:c2a3a52b-d319-47d6-b6a4-3b92bb420224","uuid:c2a3a52b-d319-47d6-b6a4-3b92bb420224/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
1,NA,NA,NA,"M",58,1,0,0,0,0,0,"uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771","uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[1]"
2,NA,NA,NA,"F",56,0,2,0,0,0,0,"uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771","uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771/survey_grp/SECTION_HOUSEHOLD_INFO/householdpopulation/hh_pop_repeat[2]"
