"household_id","participant_sex","participant_age","education_level","participant_type_coalesce","loc1_name","household_head_sex","Age_Group","Age_Group2","Womens_Age_Group","Womens_Age_Group2","global_form_id","womens_form_id","I_P_total_crops","I_P_total_important_crops","I_P_staple_area","I_P_total_crop_area","I_P_total_crop_yield","I_P_total_crop_productivity","I_P_simpson","I_VCC1","I_VCC2","I_VCC3","I_VCC4","I_VCC5","I_VCC6","I_AWEAI_asset","I_AWEAI_asset_prop","I_HI_n_income_sources","I_HI_income_diversification","I_HI_self_perception","I_HI_savings","I_HI_have_debt","I_HI_worry_debt","I_HI_transport","I_HDDS","I_HDDS_min","FIES_1","FIES_2","FIES_3","FIES_4","FIES_5","FIES_6","FIES_7","FIES_8","I_FIES_score","I_FIES_prob_moderate","I_FIES_prob_severe","I_FIES_prev_moderate","I_FIES_prev_severe","I_FIES_category"
6,"F",63,"primary","direct","Langue","F","55+","51+","55+","51+","uuid:e48aa1b7-26d1-4ca0-b10d-10870f768b88","uuid:bb803403-2c15-4df2-a969-61cb5704cb35",3,3,0.889673433362754,0.7931,458.535,578.155339805825,0.334014771747977,"equal","equal","equal","equal","equal","equal",1,1,1,"Crop farming only",7,1,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0.540845297788127,0.0288079359355486,"Food Secure"
17,"F",50,"primary","direct","Langue","F","26 - 55","31 - 50","55+","51+","uuid:cde06c54-c7f0-4911-99cb-4cac64522ffd","uuid:1cb4c86a-0ba8-43f2-a4c1-0f53a9f8dc75",NA,NA,NA,NA,NA,NA,NA,"none","equal","equal","equal","moderate","equal",1,1,1,"Off-farm sources only",7,1,0,0,1,10,1,1,1,0,0,1,0,0,0,3,0.382595573152716,5.1178511417671e-07,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
19,"F",38,"primary","direct","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:00f8a67f-7619-4b82-9cc9-059ac4180656","uuid:6f0eb33e-e57d-4b77-badc-0151753a838c",1,1,1,14.112,14540,1030.32879818594,0,"moderate","equal","equal","equal","moderate","moderate",1,1,3,"Crop farming + Off-farm sources",7,1,0,0,1,11,1,1,1,1,0,0,0,0,0,3,0.382595573152716,5.1178511417671e-07,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
12,"F",30,"secondary","direct","Langue","F","26 - 55","18 - 30","26 - 55","31 - 50","uuid:aa051a9e-f054-44a2-b3a5-d5c638a78f98","uuid:041d7abf-9278-40c6-9892-11ad6d8fe261",3,3,0.941616067258291,1.4987,1362,908.787615933809,0,"equal","equal","little","equal","equal","equal",1,1,1,"Crop farming only",5,0,1,1,0,12,1,1,1,1,0,0,0,0,0,3,0.382595573152716,5.1178511417671e-07,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
55,"F",38,"primary","indirect","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:dee794b9-9103-4284-b2e5-c5a20a1db8ce","uuid:9d426443-37e7-4f95-be32-97bf609c344a",1,1,1,0.7056,227,321.71201814059,0,"equal","equal","equal","moderate","equal","equal",1,1,1,"Crop farming only",7,1,0,0,1,10,1,1,1,1,1,1,1,1,0,7,0.998826819556292,0.307382139341667,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
58,"F",26,"primary","indirect","Langue","F","18 - 25","18 - 30","18 - 25","18 - 30","uuid:2c0251ab-6a50-4de3-b0c1-3a5793f5802c","uuid:c913a70a-609a-44bd-a755-127284d94fd4",1,1,1,0.35,635.6,1816,0,"more_than","more_than","equal","equal","moderate","equal",1,1,2,"Crop farming + Off-farm sources",7,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0.540845297788127,0.0288079359355486,"Food Secure"
56,"F",31,"primary","no_participant","Langue","F","26 - 55","18 - 30","26 - 55","18 - 30","uuid:376ff232-2461-486f-8c0a-cb7485f56d64","uuid:a2b47e68-8cab-4784-b35d-5a36fab5e8e0",4,3,0.484965119076257,1.45495,1634.4,1123.33757173786,0.662442349291866,"equal","equal","equal","equal","equal","equal",1,1,1,"Crop farming only",7,1,0,0,0,10,1,1,1,1,1,1,0,0,0,5,0.943069382438877,0.00133542087888472,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
53,"F",53,"primary","indirect","Langue","F","26 - 55","51+","26 - 55","51+","uuid:824155ea-7032-4b91-97d0-65a4da5c89f9","uuid:7dfdf55d-5f27-4268-b294-db86513e5002",1,1,1,0.175,272.4,1556.57142857143,0,"more_than","more_than","more_than","equal","more_than","more_than",1,1,2,"Crop farming + Off-farm sources",7,1,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0.540845297788127,0.0288079359355486,"Food Secure"
18,"F",56,"primary","direct","Langue","F","55+","51+","55+","51+","uuid:338f0eb3-dac8-4415-abc9-c156441bdaff","uuid:69f001c3-1573-424a-a2fe-b57e320d75aa",10,3,0.555555555555556,0.7875,1362,1729.52380952381,0.65826108253735,"more_than","more_than","more_than","equal","more_than","more_than",1,1,1,"Crop farming only",7,1,0,0,0,9,1,1,0,1,1,1,1,1,1,7,0.998826819556292,0.307382139341667,0.540845297788127,0.0288079359355486,"Severely Food Insecure"
7,"F",55,"secondary","direct","Langue","F","26 - 55","51+","55+","51+","uuid:0c959db9-b533-4354-83b3-d3a0824bc531","uuid:61a15a70-513f-4261-8167-65df0bfdca09",1,1,1,0.7056,817.2,1158.16326530612,0,"moderate","equal","equal","equal","moderate","equal",1,1,3,"Crop farming + Off-farm sources",7,1,0,0,0,12,1,1,1,1,0,0,0,0,0,3,0.382595573152716,5.1178511417671e-07,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
57,"F",29,"primary","no_participant","Langue","F","26 - 55","18 - 30","26 - 55","18 - 30","uuid:12a3dc69-6704-444b-a934-0e502de670f4","uuid:b7454816-28db-4516-84f4-0474e1c09720",2,1,1,0.7056,0,0,NA,"equal","equal","equal","moderate","equal","little",1,1,1,"Crop farming only",4,0,0,0,0,8,1,0,1,1,1,1,0,1,0,5,0.943069382438877,0.00133542087888472,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
15,"F",55,"primary","direct","Langue","F","26 - 55","51+","26 - 55","51+","uuid:0775fab9-0d2d-45f1-9f67-d412d58eb329","uuid:1a95a2df-2f4d-4930-a8ea-3872bc8a43ca",3,2,1,0.7056,14540,20606.5759637188,0,"equal","equal","equal","equal","moderate","more_than",1,1,2,"Crop farming + Off-farm sources",7,1,0,0,1,12,1,1,1,0,0,0,0,0,0,2,0.107733964012088,1.80979751185362e-08,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
54,"F",22,"secondary","indirect","Langue","F","18 - 25","18 - 30","18 - 25","18 - 30","uuid:20c844ea-82b8-4f19-bf23-9fd66f6416ad","uuid:77a70de0-9f76-43eb-936d-50940418ea66",2,2,0.333333333333333,0.2625,272.4,1037.71428571429,0.278801277327438,"equal","equal","equal","equal","moderate","moderate",1,1,1,"Crop farming only",7,1,0,0,0,10,1,1,1,1,0,1,0,0,0,4,0.745767973750561,2.64915108092456e-05,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
11,"F",54,"primary","direct","Langue","F","26 - 55","51+","26 - 55","51+","uuid:167108ec-006e-422e-a14a-a9f10e1f8252","uuid:4a3410fd-0905-4334-b67c-aeb5edb15dea",8,6,0.364425162689805,1.9362,6270,3238.30182832352,0.503958950436606,"equal","equal","equal","moderate","moderate","equal",1,1,2,"Crop farming + Off-farm sources",7,1,1,1,0,11,1,1,1,1,1,1,0,0,0,5,0.943069382438877,0.00133542087888472,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
13,"F",54,"primary","direct","Langue","F","26 - 55","51+","26 - 55","51+","uuid:ef1c7fe6-3166-489b-97ec-955373a8e2fb","uuid:5d72686d-7618-4e5a-aa99-daa6f62ee93c",5,4,0.938166012338755,11.4112,27666.6,2424.51275939428,0.338974210791892,"equal","equal","equal","equal","moderate","more_than",1,1,2,"Crop farming + Off-farm sources",7,1,1,0,0,12,1,1,1,0,0,0,0,0,0,2,0.107733964012088,1.80979751185362e-08,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
9,"F",70,"primary","direct","Langue","F","55+","51+","55+","51+","uuid:0ba6c3bb-45d0-4d69-85cd-944270d0cff6","uuid:9f084e3b-e849-4ae4-a8ba-911d65e02f66",2,2,0.5,1.4112,10541.2,7469.67120181406,0.0665425404108275,"little","moderate","moderate","equal","moderate","more_than",1,1,2,"Crop farming + Off-farm sources",7,1,0,0,0,12,1,1,1,1,1,1,0,0,0,5,0.943069382438877,0.00133542087888472,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
10,"F",38,"primary","direct","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:a4d684a9-5905-4e1e-8bf3-1815aaa56284","uuid:6b0deb11-4956-4ca5-95e2-211625a6a807",6,6,0.666666666666667,2.1168,18446.8,8714.47467876039,0.103885797935582,"little","moderate","moderate","equal","more_than","more_than",1,1,1,"Crop farming only",7,1,0,0,1,12,1,1,1,1,1,1,0,0,0,5,0.943069382438877,0.00133542087888472,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
4,"F",81,"No_school","direct","Langue","F","55+","51+","55+","51+","uuid:452d0f94-c251-4e57-b29f-1cc8df18f641","uuid:3bfa9e34-24d5-4d55-8cba-60808dc1c823",4,2,0.149948996939816,4.7056,5997.6,1274.56647398844,0.0587337404138635,"none","little","none","equal","none","none",1,1,2,"Crop farming + Off-farm sources",7,1,1,0,0,10,1,0,1,0,1,1,0,0,0,3,0.382595573152716,5.1178511417671e-07,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
5,"F",34,"primary","direct","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:c7523e62-1290-4acd-be67-dfa9cdd0c139","uuid:7ddadd49-cdd2-425c-819c-8d0fa667171c",2,2,0.668435013262599,1.0556,1452.8,1376.27889352027,0.117268218762915,"equal","equal","equal","moderate","equal","equal",1,0.8,1,"Crop farming only",7,1,1,1,0,11,1,1,1,1,1,0,0,NA,0,4,0.745767973750561,2.64915108092456e-05,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
52,"F",56,"primary","direct","Langue","F","55+","51+","55+","51+","uuid:3e0041fa-c3e9-42e2-bfe8-d03ea2b4dfbf","uuid:d6434be5-640f-4f52-a245-8df6ccfa5ffe",10,2,0.668435013262599,1.0556,1089.6,1032.2091701402,0.444852716026701,"more_than","more_than","more_than","equal","more_than","more_than",1,1,2,"Crop farming + Off-farm sources",7,1,1,0,1,12,1,0,1,0,1,0,0,0,0,2,0.107733964012088,1.80979751185362e-08,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
21,"F",54,"primary","direct","Langue","F","26 - 55","51+","26 - 55","51+","uuid:3c46085a-b5bd-496a-9131-9fae287b9e57","uuid:f3113309-4723-4f85-9f16-4cde53e4a0a3",2,2,0.8,0.21875,564.8,2581.94285714286,0.0684348517295125,"moderate","no_reponse","equal","equal","moderate","more_than",1,1,1,"Crop farming only",5,0,1,1,0,9,1,1,1,1,1,0,1,1,0,6,0.992436876519917,0.0338995061110484,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
22,"F",38,"secondary","direct","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:1fff7648-d485-48c0-9ca6-2858199316b1","uuid:457ed71d-26b7-44ba-84be-0baf066f980e",10,2,0.236652783036729,0.92435,26172,28313.9503434846,0.277788391731306,"more_than","no_reponse","equal","equal","equal","more_than",1,1,1,"Crop farming only",5,0,1,1,0,10,1,1,0,0,0,0,0,0,0,1,0.0194524949146435,6.51598586198787e-09,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
1,"F",52,"primary","direct","Langue","F","26 - 55","51+","26 - 55","51+","uuid:c2880540-6d5e-4747-bd9f-4470c92516ba","uuid:9d41f5b7-cb4e-41e9-b2d8-718a3f1d3e88",10,4,0.5,1.4112,16629.6,11784.0136054422,0.0735247381220178,"more_than","equal","moderate","moderate","equal","equal",1,1,2,"Crop farming + Off-farm sources",4,0,0,0,0,8,1,0,1,1,1,1,0,1,0,5,0.943069382438877,0.00133542087888472,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
2,"F",58,"primary","direct","Langue","F","55+","51+","55+","51+","uuid:fedaa08f-b964-4c2b-89a4-7ab7b03d97e6","uuid:7c6a1239-bb32-4be8-9a22-ab880dd74115",22,3,0.617268830373546,1.1431,22545.6,19723.2088181261,0.0633782458349367,"equal","moderate","moderate","equal","more_than","more_than",1,0.75,2,"Crop farming + Off-farm sources",7,1,0,0,1,9,1,0,1,0,0,0,0,0,0,1,0.0194524949146435,6.51598586198787e-09,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
3,"F",68,"primary","direct","Langue","F","55+","51+","55+","51+","uuid:b3806a0e-0647-4183-9fe9-33b3f7ce8aa5","uuid:10ff0be0-5717-43b4-bf40-4ab636842eb8",6,1,1,0.2625,454,1729.52380952381,0,"more_than","more_than","more_than","equal","more_than","more_than",1,1,1,"Crop farming only",7,1,0,0,0,11,1,1,1,1,1,1,1,1,0,7,0.998826819556292,0.307382139341667,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
16,"F",49,"primary","direct","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:7e82c59f-d95d-4bb8-9355-b3601203d4ac","uuid:f09135eb-3b78-4e4d-ad1f-4cce07ca68dd",3,1,1,0.13125,181.6,1383.61904761905,0,"equal","more_than","equal","equal","equal","equal",1,1,2,"Crop farming + Off-farm sources",5,0,0,0,1,9,1,1,1,1,1,1,0,1,0,6,0.992436876519917,0.0338995061110484,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
20,"F",57,"primary","direct","Langue","F","55+","51+","55+","51+","uuid:d62cb451-4d6e-430d-b12d-419a8a66bca8","uuid:5fa2ad84-f782-4eb4-874e-ae017a001595",6,2,0.889673433362754,1.5862,2179.2,1373.84945151935,0.218850426958039,"equal","equal","equal","equal","moderate","equal",1,1,1,"Crop farming only",5,0,1,1,0,11,1,1,1,1,1,0,1,NA,0,5,0.943069382438877,0.00133542087888472,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
51,"F",42,"secondary","direct","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:696cebbb-0750-4e9a-acf1-fff4471a66a2","uuid:7a61e27a-b636-4f57-b2dd-c2bd4321b195",12,7,0.740208425939645,1.01235,2850.215,2815.44426334766,0.654604471719936,"equal","equal","equal","equal","equal","equal",1,1,2,"Crop farming + Off-farm sources",7,1,1,1,1,10,1,1,1,1,1,1,0,NA,0,5,0.943069382438877,0.00133542087888472,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
