"household_id","participant_sex","participant_age","education_level","participant_type_coalesce","loc1_name","household_head_sex","Age_Group","Age_Group2","Womens_Age_Group","Womens_Age_Group2","global_form_id","womens_form_id","I_P_total_crops","I_P_total_important_crops","I_P_staple_area","I_P_total_crop_area","I_P_total_crop_yield","I_P_total_crop_productivity","I_P_simpson","I_VCC1","I_VCC2","I_VCC3","I_VCC4","I_VCC5","I_VCC6","I_AWEAI_asset","I_AWEAI_asset_prop","I_HI_n_income_sources","I_HI_income_diversification","I_HI_self_perception","I_HI_savings","I_HI_have_debt","I_HI_worry_debt","I_HI_transport","I_HDDS","I_HDDS_min","FIES_1","FIES_2","FIES_3","FIES_4","FIES_5","FIES_6","FIES_7","FIES_8","I_FIES_score","I_FIES_prob_moderate","I_FIES_prob_severe","I_FIES_prev_moderate","I_FIES_prev_severe","I_FIES_category"
31,"F",49,"secondary","indirect","Langue","F","26 - 55","31 - 50",NA,NA,"uuid:078fb83b-29f4-4c0a-aa88-ef5131364310","uuid:2bd6e286-396a-4099-b2ca-311db440c8b6",2,2,0.5,1.4112,7814.8,5537.69841269841,0.129724303214124,"none","none","none","equal","more_than","more_than",1,1,2,"Crop farming + Off-farm sources",7,1,0,0,0,12,1,1,1,1,0,0,0,0,0,3,0.382595573152716,5.1178511417671e-07,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
35,"M",31,"secondary","indirect","Langue","M","26 - 55","18 - 30","26 - 55","18 - 30","uuid:b0da89a5-12bd-4511-8539-79cd0594309a","uuid:2475f610-b1b6-4f9e-9825-66f220c8d167",2,2,0.843161856963614,0.83685,10405,12433.5305012846,0.0426850575528098,"more_than","more_than","more_than","equal","equal","equal",1,0.75,1,"Crop farming only",5,0,0,0,0,9,1,1,0,0,0,0,0,0,0,1,0.0194524949146435,6.51598586198787e-09,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
36,"M",45,"primary","indirect","Langue","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:c67e2c49-212b-47f9-84a2-6c0fbf158fcd","uuid:216ab5d1-396b-4b4c-b413-f53672047a90",6,2,0.941616067258291,0.74935,21810,29105.2245279242,0,"equal","equal","equal","equal","equal","equal",1,0.666666666666667,1,"Crop farming only",7,1,1,1,0,11,1,1,1,0,0,0,0,0,0,2,0.107733964012088,1.80979751185362e-08,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
62,"F",16,"primary","no_participant","Langue","F",NA,NA,NA,NA,"uuid:3a90018b-e2c9-449f-a3b0-7e611e196595","uuid:8fe06adb-1175-4ce7-a667-da9da6bfc97c",NA,NA,NA,NA,NA,NA,NA,"no_reponse","no_reponse","little","little","no_reponse","little",1,1,0,"Income sources unreported",5,0,0,0,0,10,1,1,1,0,0,1,1,0,0,4,0.745767973750561,2.64915108092456e-05,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
60,"M",62,"primary","no_participant","Langue","M","55+","51+","55+","51+","uuid:36c0194b-1f4d-4338-bd6c-8586925e31a9","uuid:0aea5b3a-92e1-47cc-af66-aea75ac0e9a6",2,2,0.5,2.8224,1725.2,611.25283446712,0.432383592085422,"equal","equal","equal","equal","equal","equal",1,1,1,"Crop farming only",5,0,0,0,0,11,1,1,1,1,1,1,0,1,0,6,0.992436876519917,0.0338995061110484,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
61,"F",32,"primary","indirect","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:72b97063-1edb-48ab-b2b0-51cd80027ec5","uuid:e2d2752f-a69b-4cc0-8960-fe95d3e048e9",NA,NA,NA,NA,NA,NA,NA,"equal","equal","equal","moderate","equal","equal",1,1,0,"Income sources unreported",5,0,0,0,0,12,1,1,1,1,1,0,0,0,0,4,0.745767973750561,2.64915108092456e-05,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
63,"F",34,"secondary","indirect","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:e8045a01-e690-4eca-87f4-7af59ae8ac79","uuid:99949412-c01c-422e-9a1d-053a926a3eb3",1,1,1,0.7056,454,643.424036281179,0,"equal","equal","equal","equal","equal","equal",1,1,1,"Crop farming only",4,0,1,0,0,10,1,1,1,0,0,0,1,0,0,3,0.382595573152716,5.1178511417671e-07,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
59,"M",69,"no_answer","indirect","Langue","M","55+","51+","55+","51+","uuid:6819f15f-5890-464b-8fac-dfb2478d1eba","uuid:8144c2a2-c813-4bda-a679-7eb96fdd9b16",1,1,1,0.7056,817.2,1158.16326530612,0,"equal","equal","equal","equal","equal","equal",1,1,1,"Crop farming only",7,1,0,0,0,9,1,1,1,1,0,0,0,0,1,4,0.745767973750561,2.64915108092456e-05,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
48,"F",19,"primary","indirect","Langue","F","18 - 25","18 - 30","18 - 25","18 - 30","uuid:c2a3a52b-d319-47d6-b6a4-3b92bb420224","uuid:a845290a-6c14-48eb-97c2-eda11d9139ec",NA,NA,NA,NA,NA,NA,NA,"none","none","none","no_reponse","no_reponse","little",1,1,1,"Off-farm sources only",7,1,0,0,0,12,1,1,1,0,0,0,0,0,0,2,0.107733964012088,1.80979751185362e-08,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
50,"M",58,"primary","no_participant","Langue","M","55+","51+","55+","51+","uuid:759a36a5-262a-4a4f-9ce0-e93c12a8a771","uuid:8293717b-21cc-46cd-afcb-213dc3320c47",2,2,0.72885032537961,0.9681,953.4,984.815618221258,0.408591828163437,"equal","equal","equal","equal","equal","equal",1,1,1,"Crop farming only",5,0,0,0,0,10,1,1,1,1,1,1,0,1,0,6,0.992436876519917,0.0338995061110484,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
14,"F",45,"primary","direct","Langue","F","26 - 55","31 - 50","26 - 55","31 - 50","uuid:bb439e67-93bd-42cd-b9a5-e087e735f1e6","uuid:9dcaaa93-bd7b-4d0e-b417-795cb930c4d3",5,5,0.707365627073656,2.4112,23399,9704.29661579297,0.128858794706828,"more_than","more_than","equal","equal","more_than","more_than",1,1,3,"Crop farming + Off-farm sources",7,1,0,0,1,12,1,1,1,1,0,0,0,0,0,3,0.382595573152716,5.1178511417671e-07,0.540845297788127,0.0288079359355486,"Mildly Food Insecure"
41,"M",32,"primary","no_participant","Langue","M","26 - 55","31 - 50","26 - 55","31 - 50","uuid:9c9fde53-162f-4583-876d-ff9b5ef2efdb","uuid:df2d4e65-36c4-4874-90dc-8741ae24e02e",3,3,0.515034880923743,1.45495,1906.8,1310.56050036084,0.66247894897281,"equal","equal","equal","equal","equal","equal",1,1,1,"Crop farming only",7,1,0,0,0,12,1,1,1,1,0,1,0,0,0,4,0.745767973750561,2.64915108092456e-05,0.540845297788127,0.0288079359355486,"Moderately Food Insecure"
